,Logit_coef,Logit_pvalue
Intercept,-0.35218944358914744,0.11652529302296641
C(Contract)[T.One year],-0.7054896164876293,5.053384257594281e-05
C(Contract)[T.Two year],-1.4142907438954784,5.614348536982859e-07
C(InternetService)[T.Fiber optic],0.5626215846128345,7.778643687322453e-05
C(InternetService)[T.No],-0.9355055200633963,4.1612014273239045e-09
C(PaymentMethod)[T.Credit card (automatic)],-0.08174339740615652,0.4709330339952943
C(PaymentMethod)[T.Electronic check],0.34812566607234285,0.00020017635645201847
C(PaymentMethod)[T.Mailed check],-0.0754897007621122,0.5083321610102827
C(gender)[T.Male],-0.025759827337272955,0.6891328342529683
tenure,-0.05914844957630006,2.838501832628459e-20
MonthlyCharges,0.0023585030733914627,0.5288400263124534
TotalCharges,0.00033431686573415383,0.5234839917151677
SeniorCitizen,0.24699874851007472,0.003198917129227612
Partner,0.013799255272112013,0.858203761219301
Dependents,-0.16533990579715915,0.06371588589392743
PaperlessBilling_bin,0.3588552989050303,9.908899087368147e-06
C(Contract)[T.One year]:PaperlessBilling_bin,0.07542444177606553,0.7110378298686616
C(Contract)[T.Two year]:PaperlessBilling_bin,0.11099290016240433,0.7389561275373602
OnlineSecurity_bin,-0.45620046058577046,8.875947628097061e-08
TechSupport_bin,-0.3967369270278576,6.399404347866361e-06
tenure:MonthlyCharges,5.226176098721391e-06,0.9921503815459409
